license_number,company_name,company_dba,license_classification,2 or more companies,# in each license,issued_date,naics_code,naics_name,,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu
GBL-0222-09830,5Church Buckhead LLC,529 BAR,Accommodation and Food Services,x,,2025-02-11 17:26:28,722410,Drinking Places (Alcoholic Beverages) ,,,517,FLAT SHOALS,AVE,SE,,ATLANTA,GA,30316,517 FLAT SHOALS AVE ATLANTA GA 30316,"517 Flat Shoals Ave SE, Atlanta, Georgia, 30316",-84.3453768,33.73995309,FALSE,5,W
GBL-0222-10185,5Church Buckhead LLC,Flik International Corporation,Accommodation and Food Services,,,2025-02-06 13:24:39,722310,Food Service Contractors,,NE,3344 Peachtree,,RD,,,Atlanta,GA,30326,3344 Peachtree nan RD Atlanta GA 30326,"3344 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.36870003,33.84680098,FALSE,7,B
GBL-0222-10191,"BST Restaurants, LLC",Flik International Corporation,Accommodation and Food Services,x,,2025-02-06 14:38:59,722511,Full-Service Restaurants ,,,650,West PEACHTREE,ST,NW,,Atlanta,GA,,650 West PEACHTREE ST Atlanta GA nan,"650 W Peachtree St NW, Atlanta, Georgia, 30308",-84.3880199,33.7731308,FALSE,2,E
GBL-0222-10197,"BST Restaurants, LLC",Eurest Dining,Accommodation and Food Services,x,,2025-02-07 08:54:37,722511,Full-Service Restaurants ,,NW,200 17th,,ST,,,Atlanta,NC,30363,200 17th nan ST Atlanta NC 30363,"200 17th St NW, Atlanta, Georgia, 30363",-84.39504019,33.79107077,FALSE,3,E
GBL-0222-10201,PIEDMONT THAI GROUP LLC,The Privacy Room,Accommodation and Food Services,x,,2025-02-13 11:20:13,722511,Full-Service Restaurants ,,,2591 Piedmont Rd,,,,,Atlanta,GA,30324,2591 Piedmont Rd nan nan Atlanta GA 30324,"2591 Piedmont Rd NE, Atlanta, Georgia, 30324",-84.3666028,33.82463868,FALSE,6,B
GBL-0222-10380,"Sushi Paradise, LLC",,Accommodation and Food Services,x,,2025-02-07 08:51:06,722511,Full-Service Restaurants ,,,3379,PEACHTREE,RD,NE,,Atlanta,GA,,3379 PEACHTREE RD Atlanta GA nan,"3379 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.36579461,33.84819125,FALSE,7,B
GBL-0222-10380,Peninsula Korean Steakhouse LLC,,Accommodation and Food Services,x,,2025-02-07 08:51:06,722511,Full-Service Restaurants ,,,3379,PEACHTREE,RD,NE,,Atlanta,GA,,3379 PEACHTREE RD Atlanta GA nan,"3379 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.36579461,33.84819125,FALSE,7,B
GBL-0222-10422,Peninsula Korean Steakhouse LLC,DBA Bao gogo,Accommodation and Food Services,x,,2025-02-08 16:08:29,722511,Full-Service Restaurants ,,,2900 Peachtree Rd ,,,,Suite 115,Atlanta,GA,30305,2900 Peachtree Rd  nan nan Atlanta GA 30305,"2900 Peachtree Rd NW, Atlanta, Georgia, 30305",-84.383838,33.83461445,FALSE,8,B
GBL-0222-10455,Peninsula Korean Steakhouse LLC,Bastone,Accommodation and Food Services,,,2025-01-22 13:03:58,722511,Full-Service Restaurants ,,,887 Howell Mill,,RD,NW,Suite 1,Atlanta,GA,30318,887 Howell Mill nan RD Atlanta GA 30318,"887 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.40982467,33.77943563,FALSE,3,E
GBL-0222-10455,"Storico Sport, LLC",Bastone,Accommodation and Food Services,x,,2025-01-22 13:03:58,722511,Full-Service Restaurants ,,,887 Howell Mill,,RD,NW,Suite 1,Atlanta,GA,30318,887 Howell Mill nan RD Atlanta GA 30318,"887 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.40982467,33.77943563,FALSE,3,E
GBL-0223-18675,"Storico Sport, LLC",B.O.T.,Accommodation and Food Services,x,,2025-01-15 13:04:47,722511,Full-Service Restaurants ,,NE,1020 PIEDMONT AVE,,,,A,ATLANTA,GA,30309,1020 PIEDMONT AVE nan nan ATLANTA GA 30309,"1020 Piedmont Ave NE, Atlanta, Georgia, 30309",-84.38093602,33.78272292,FALSE,2,E
